ligand,base,solvent,ligand_equivalent,objective_conversion,objective_selectivity
P(tBu)3,NaOH(aq.),MeOH,0.125,39.6,67.17171717171718
P(tBu)3,s. NaHCO3(aq.),MeOH,0.125,52.3,74.37858508604207
P(tBu)3,CsF(aq.),MeOH,0.125,50.8,74.01574803149606
P(tBu)3,1M K3PO4(aq.),MeOH,0.125,50.3,73.55864811133202
P(tBu)3,KOH(aq.),MeOH,0.125,61.5,78.21138211382113
P(tBu)3,Cs2CO3(aq.),MeOH,0.125,61.00000000000001,79.01639344262294
P(tBu)3,KOAc,MeOH,0.125,67.5,52.8888888888889
P(tBu)3,None,MeOH,0.125,74.9,53.271028037383175
P(Ph)3,NaOH(aq.),MeOH,0.125,99.2,73.79032258064517
P(Ph)3,s. NaHCO3(aq.),MeOH,0.125,86.60000000000001,85.10392609699768
P(Ph)3,CsF(aq.),MeOH,0.125,83.3,89.07563025210085
P(Ph)3,1M K3PO4(aq.),MeOH,0.125,81.5,92.14723926380368
P(Ph)3,KOH(aq.),MeOH,0.125,82.99999999999999,91.92771084337352
P(Ph)3,Cs2CO3(aq.),MeOH,0.125,82.2,93.06569343065692
P(Ph)3,KOAc,MeOH,0.125,81.4,95.0859950859951
P(Ph)3,None,MeOH,0.125,80.30000000000001,94.89414694894144
AmPhos,NaOH(aq.),MeOH,0.125,75.2,89.49468085106382
AmPhos,s. NaHCO3(aq.),MeOH,0.125,75.39999999999999,90.18567639257296
AmPhos,CsF(aq.),MeOH,0.125,77.3,90.03880983182407
AmPhos,1M K3PO4(aq.),MeOH,0.125,74.3,88.42530282637955
AmPhos,KOH(aq.),MeOH,0.125,56.900000000000006,78.55887521968366
AmPhos,Cs2CO3(aq.),MeOH,0.125,60.1,78.70216306156405
AmPhos,KOAc,MeOH,0.125,43.7,72.31121281464532
AmPhos,None,MeOH,0.125,39.3,70.22900763358778
P(Cy)3,NaOH(aq.),MeOH,0.125,46.5,71.82795698924731
P(Cy)3,s. NaHCO3(aq.),MeOH,0.125,33.9,70.50147492625368
P(Cy)3,CsF(aq.),MeOH,0.125,55.2,75.90579710144928
P(Cy)3,1M K3PO4(aq.),MeOH,0.125,46.7,73.23340471092077
P(Cy)3,KOH(aq.),MeOH,0.125,59.8,77.59197324414716
P(Cy)3,Cs2CO3(aq.),MeOH,0.125,84.39999999999999,92.53554502369668
P(Cy)3,KOAc,MeOH,0.125,80.60000000000001,94.04466501240694
P(Cy)3,None,MeOH,0.125,76.7,92.4380704041721
P(o-Tol)3,NaOH(aq.),MeOH,0.125,83.99999999999999,83.45238095238095
P(o-Tol)3,s. NaHCO3(aq.),MeOH,0.125,76.5,84.70588235294117
P(o-Tol)3,CsF(aq.),MeOH,0.125,83.79999999999998,82.69689737470168
P(o-Tol)3,1M K3PO4(aq.),MeOH,0.125,76.5,80.65359477124183
P(o-Tol)3,KOH(aq.),MeOH,0.125,74.5,75.16778523489933
P(o-Tol)3,Cs2CO3(aq.),MeOH,0.125,79.5,66.41509433962264
P(o-Tol)3,KOAc,MeOH,0.125,67.8,74.63126843657818
P(o-Tol)3,None,MeOH,0.125,59.39999999999999,76.26262626262627
CataCXium A,NaOH(aq.),MeOH,0.125,56.400000000000006,78.0141843971631
CataCXium A,s. NaHCO3(aq.),MeOH,0.125,66.3,81.14630467571644
CataCXium A,CsF(aq.),MeOH,0.125,47.7,74.8427672955975
CataCXium A,1M K3PO4(aq.),MeOH,0.125,60.3,79.93366500829188
CataCXium A,KOH(aq.),MeOH,0.125,63.8,80.87774294670847
CataCXium A,Cs2CO3(aq.),MeOH,0.125,45.99999999999999,73.47826086956523
CataCXium A,KOAc,MeOH,0.125,38.7,69.50904392764858
CataCXium A,None,MeOH,0.125,47.39999999999999,73.41772151898735
SPhos,NaOH(aq.),MeOH,0.0625,45.2,72.34513274336285
SPhos,s. NaHCO3(aq.),MeOH,0.0625,28.0,58.57142857142858
SPhos,CsF(aq.),MeOH,0.0625,38.39999999999999,67.44791666666667
SPhos,1M K3PO4(aq.),MeOH,0.0625,39.3,67.68447837150127
SPhos,KOH(aq.),MeOH,0.0625,36.9,66.66666666666667
SPhos,Cs2CO3(aq.),MeOH,0.0625,74.6,71.58176943699732
SPhos,KOAc,MeOH,0.0625,54.5,67.33944954128441
SPhos,None,MeOH,0.0625,49.7,70.4225352112676
dtbpf,NaOH(aq.),MeOH,0.0625,38.6,47.15025906735752
dtbpf,s. NaHCO3(aq.),MeOH,0.0625,19.6,21.428571428571427
dtbpf,CsF(aq.),MeOH,0.0625,20.7,25.120772946859905
dtbpf,1M K3PO4(aq.),MeOH,0.0625,19.7,21.82741116751269
dtbpf,KOH(aq.),MeOH,0.0625,19.8,24.24242424242425
dtbpf,Cs2CO3(aq.),MeOH,0.0625,15.8,21.51898734177215
